Location,Rock,Wall,Route,Pitch,,Grade,Aid,Page,Guidebook,Stars,Ascent,Pitches,Comments
Smith Rock,Koala Rock,,Ryan's Arete,,5.,10c,,275,Smith,«««,Sport,,
Smith Rock,Koala Rock,,Cool Air,,5.,11a,,276,Smith,«««,Sport,,
Smith Rock,Koala Rock,,To Live is to Die,,5.,11a,,280,Smith,«««,Sport,,
Smith Rock,Brogan Spire,,Barred Reality,,5.,10a,,284,Smith,«««,Sport,3,
Smith Rock,Smith Rock Group,,Sky Ridge,,5.,8,,153,Smith,«««,Mixed,2,"Gear to 2.5"""
Smith Rock,Brogan Spire,,Short Sharp Shock,,5.,10b,,286,Smith,«««,Sport,,
Smith Rock,Brogan Spire,,The Cave Route,,5.,7,,286,Smith,««««,Mixed,,
Smith Rock,Brogan Spire,,Under the Gun,,5.,10a,,286,Smith,«««,Sport,,
Smith Rock,Basalt Rimrock,Student Wall,Passing Grade,,5.,9,,318,Smith,«««,Trad,,"Gear to 3"""
Smith Rock,Basalt Rimrock,Student Wall,Heart Throb,,5.,7,,321,Smith,«««,Trad,,"Gear to 3"""
Smith Rock,Basalt Rimrock,Student Wall,Deep Sleep,,5.,8,,322,Smith,«««,Trad,,"Gear to 3"""
Smith Rock,Basalt Rimrock,Student Wall,Virgin Slayer,,5.,9,,322,Smith,«««,Trad,,"Gear to 3.5"""
Smith Rock,Basalt Rimrock,Student Wall,Big Man on Campus,,5.,9,,323,Smith,«««,Trad,,"Gear to 1"""
Smith Rock,,Lower Gorge,Pure Palm,,5.,11a,,333,Smith,«««,Sport,,
WA,,Mt. Stuart,,,,,,,,,,,
WA,,Dragontail,,,,,,,,,,,
WY,Wind River Range,Wolf's Head,,,,,,,,,,,
WY,Wind River Range,Pingora,,,,,,,,,,,
WA,Liberty Bell,Beckey Route,,,,,,,,,,,
WA,,Colchuck Peak,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Routes:,,,,,,,,,,,,,
82,,,,,,,,,,,,,
